Positional Model Cell Name,Lineage Name,Function Name
OLLR,ABpraaapapaa,OLLR
OLQDL,ABalapapapaa,OLQDL
OLQDR,ABalapppapaa,OLQDR
OLQshVL,ABalpppaaap,OLQshVL
OLQshVR,ABpraaaaaap,OLQshVR
OLQVL,ABplpaaappaa,OLQVL
OLQVR,ABprpaaappaa,OLQVR
P1/2L,ABplapaapp,P1/2L
P1/2R,ABprapaapp,P1/2R
P11,ABplapappa,P11
P12,ABprapappa,P12
P3/4L,ABplappaaa,P3/4L
P3/4R,ABprappaaa,P3/4R
P5/6L,ABplappaap,P5/6L
P5/6R,ABprappaap,P5/6R
P7/8L,ABplappapp,P7/8L
P7/8R,ABprappapp,P7/8R
P9/10L,ABplapapap,P9/10L
P9/10l,ABplapapap,P9/10l
P9/10R,ABprapapap,P9/10R
P9/10r,ABprapapap,P9/10r
PDA,ABprpppaaaa,PDA
PHAR,ABprpppaapp,PHAR
PHshR,ABprpppapaa,PHshR
placeholder,,
placeholder,,
pm1DL,ABaraapaaap,pm1DL
pm1DR,ABaraappaap,pm1DR
pm1VR,ABarapaaapa,pm1VR
pm2DL,ABaraapaapa,pm2DL
pm2DR,ABaraappapa,pm2DR
pm2L,ABalpaaapaa,pm2L
pm2R,ABarapaapaa,pm2R
pm2VL,ABalpaaaaap,pm2VL
pm2VR,ABarapaaaap,pm2VR
pm3DL,MSaaapaaa,pm3DL
pm3DR,MSpaaaapa,pm3DR
pm3L,ABalpaapapp,pm3L
pm3R,ABarapaappa,pm3R
pm3VL,ABalpappppp,pm3VL
pm3VR,ABarapapppp,pm3VR
pm4DL,MSaaaaapp,pm4DL
pm4DR,MSpaaaapp,pm4DR
pm4L,MSaaapaap,pm4L
pm4R,ABaraaapapp,pm4R
pm4VL,MSaapaaaa,pm4VL
pm4VR,MSpapaaaa,pm4VR
pm5DL,MSaaaapap,pm5DL
pm5DR,MSpaaappa,pm5DR
pm5L,ABaraapapap,pm5L
pm5R,ABaraapppap,pm5R
pm5VL,MSaapaaap,pm5VL
pm5VR,MSpapaaap,pm5VR
pm6D,MSpaaappp,pm6D
pm6VL,MSaapappa,pm6VL
pm6VR,MSpapappa,pm6VR
pm7VL,MSaapaapp,pm7VL
pm7VR,MSpapaapp,pm7VR
PVCR,ABprpppaapaa,PVCR
PVPR,ABprppppaaa,PVPR
PVQL,ABplapppaaa,PVQL
PVQR,ABprapppaaa,PVQR
PVR,Caappv,PVR
PVT,ABplpappppa,PVT
QL,ABplapapaaa,QL
QR,ABprapapaaa,QR
rect_D,ABplpappppp,rect_D
RIAL,ABalapaapaa,RIAL
RIAR,ABalaapppaa,RIAR
RIBL,ABplpaappap,RIBL
RIBR,ABprpaappap,RIBR
RIGL,ABplppappaa,RIGL
RIGR,ABprppappaa,RIGR
RIPL,ABalpapaaaa,RIPL
RIR,ABprpapppaa,RIR
RIS,ABprpappapa,RIS
RMDL,ABalpppapad,RMDL
RMDR,ABpraaaapad,RMDR
RMDVR,ABarapppaaa,RMDVR
RMEV,ABplpappaaa,RMEV
RMGL,ABplapaaapp,RMGL
RMGR,ABprapaaapp,RMGR
SIAVL,ABplpapappa,SIAVL
SMBVL,ABalpapappp,SMBVL
SMBVR,ABarappappp,SMBVR
SMDVL,ABalppappaa,SMDVL
TL,ABplappppp,TL
TR,ABprappppp,TR
URADL,ABplaaaaaaa,URADL
URADR,ABarpapaaaa,URADR
URAVL,ABplpaaapaa,URAVL
URYDL,ABalapapapp,URYDL
URYDR,ABalapppapp,URYDR
URYVR,ABprpaaappp,URYVR
V1L,ABarppapaa,V1L
V1R,ABarppppaa,V1R
V2L,ABarppapap,V2L
V2R,ABarppppap,V2R
V3L,ABplappapa,V3L
V3R,ABprappapa,V3R
V4L,ABarppappa,V4L
V4R,ABarpppppa,V4R
V5L,ABplapapaap,V5L
V5R,ABprapapaap,V5R
V6L,ABarppappp,V6L
V6R,ABarpppppp,V6R
VIRL,ABprpappppp,VIRL
VIRR,ABprpappppa,VIRR
vpi3D,MSaaappp,vpi3D
W,ABprapaapa,W
XXXL,ABplaaapaa,XXXL
XXXR,ABarpappaa,XXXR
YYY,,
Z1,MSpppaap,Z1
ZZZ,,
